date,open,close,high,low,volume
2014/1/22,9.104,9.191,9.258,9.051,19834
2014/1/23,9.158,9.131,9.284,9.111,18927
2014/1/24,9.078,9.104,9.211,9.078,18372
2014/1/27,9.104,8.798,9.104,8.731,24314
2014/1/28,8.798,8.751,8.864,8.705,11294
2014/1/29,8.751,8.864,8.864,8.718,10515
2014/1/30,8.858,8.984,9.104,8.805,8077
2014/2/7,8.984,8.991,8.998,8.845,6234
2014/2/10,8.984,9.064,9.091,8.931,19954
2014/2/11,9.091,9.038,9.098,8.958,22084
2014/2/12,9.084,8.858,9.084,8.831,39180
2014/2/13,8.831,8.731,8.858,8.685,37585
2014/2/14,8.731,8.811,8.811,8.618,40336
2014/2/17,8.811,8.791,8.864,8.665,39540
2014/2/18,8.811,8.738,8.811,8.711,27013
2014/2/19,8.884,8.951,9.018,8.738,59507
2014/2/20,8.958,9.151,9.311,8.898,100953
2014/2/21,9.171,9.258,9.311,9.044,53348
2014/2/24,9.264,9.331,9.431,9.164,58576
2014/2/25,9.451,8.864,9.451,8.718,49690
2014/2/26,8.798,8.851,8.958,8.378,34263
2014/2/27,8.845,8.611,8.851,8.611,21651
2014/2/28,8.611,8.611,8.718,8.145,55481
2014/3/3,8.531,8.718,8.805,8.345,32876
2014/3/4,8.625,8.398,8.625,8.385,40455
2014/3/5,8.438,8.451,8.565,8.358,23806
2014/3/6,8.458,8.398,8.485,8.298,21777
2014/3/7,8.405,8.331,8.411,8.298,16435
2014/3/10,8.291,8.258,8.331,8.085,18339
2014/3/11,8.245,8.345,8.438,8.111,14521
2014/3/12,8.331,8.325,8.378,8.218,6708
2014/3/13,8.385,8.398,8.518,8.271,15096
2014/3/14,8.398,8.391,8.491,8.265,9436
2014/3/17,8.398,8.465,8.498,8.318,12479
2014/3/18,8.465,8.511,8.598,8.431,19069
2014/3/19,8.538,8.351,8.538,8.298,13815
2014/3/20,8.351,8.138,8.471,8.105,21104
2014/3/21,8.151,8.178,8.198,8.025,26561
2014/3/24,8.178,8.205,8.238,8.131,17867
2014/3/25,8.205,8.158,8.251,8.111,21597
2014/3/26,8.185,8.218,8.218,8.098,20059
2014/3/27,8.211,8.131,8.211,8.118,16480
2014/3/28,8.131,8.085,8.171,7.985,27095
2014/3/31,8.045,8.098,8.105,7.925,16095
2014/4/1,8.091,8.078,8.091,8.045,8949
2014/4/2,8.078,8.078,8.151,8.038,9673
2014/4/3,8.111,8.191,8.231,8.091,22970
2014/4/4,8.171,8.218,8.231,8.091,11511
2014/4/8,8.185,8.318,8.345,8.138,18616
2014/4/9,8.311,8.411,8.438,8.278,23030
2014/4/10,8.411,8.285,8.438,8.238,25758
2014/4/11,8.298,8.458,8.565,8.258,28190
2014/4/14,8.458,8.725,8.851,8.458,52375
2014/4/15,8.718,8.758,8.858,8.631,28311
2014/4/16,8.758,8.765,8.778,8.558,16362
2014/4/17,8.765,8.665,8.778,8.598,12241
2014/4/18,8.665,8.531,8.711,8.518,11431
2014/4/21,8.465,8.285,8.465,8.271,16735
2014/4/22,8.285,8.225,8.298,8.138,13211
2014/4/23,8.231,8.311,8.331,8.178,8255
2014/4/24,8.505,8.245,8.505,8.245,9869
2014/4/25,8.331,8.171,8.331,8.151,10608
2014/4/28,8.131,7.878,8.185,7.818,15817
2014/4/29,7.825,8.045,8.058,7.825,10751
2014/4/30,8.065,8.051,8.118,7.931,11741
2014/5/5,8.031,7.991,8.031,7.785,10518
2014/5/6,7.991,7.918,8.031,7.891,16446
2014/5/7,7.898,7.731,7.918,7.698,14274
2014/5/8,7.731,7.665,7.825,7.651,11039
2014/5/9,7.665,7.878,7.931,7.565,19517
2014/5/12,7.905,8.038,8.065,7.845,26481
2014/5/13,8.038,8.005,8.078,7.931,12573
2014/5/14,8.005,7.958,8.038,7.891,9964
2014/5/15,7.905,7.785,7.958,7.785,4694
2014/5/16,7.851,7.731,7.851,7.698,4727
2014/5/19,7.711,7.731,7.785,7.625,3827
2014/5/20,7.745,7.771,7.865,7.512,13621
2014/5/21,7.725,7.751,7.858,7.698,5239
2014/5/22,7.778,7.698,7.778,7.651,4419
2014/5/23,7.678,7.691,7.725,7.645,4990
2014/5/26,7.685,7.671,7.831,7.365,17078
2014/9/5,8.438,8.438,8.438,8.438,4262
2014/9/9,9.284,9.284,9.284,9.284,2386
2014/9/10,10.211,10.211,10.211,10.211,10372
2014/9/11,11.231,11.231,11.231,11.231,69043
2014/9/12,11.697,12.277,12.357,10.964,384482
2014/9/15,11.784,11.717,12.064,11.684,210734
2014/9/16,11.724,11.85,12.097,11.457,156067
